,시장구분,종목코드,종목명,산업분류,현재가.종가.,전일대비,시가총액.원.,일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,게시물..일련번호,총카운트
256,코스닥,53800,안랩,IT S/W & SVC,62100,100,6.22E+11,2019-10-30,-,62100,"2,630",23.61,"19,413",3.2,900,1.45,455,NA
257,코스닥,78130,국일제지,종이·목재,5120,-110,6.20E+11,2019-10-30,-,5120,-,-,479,10.69,0,0,645,NA
258,코스닥,64760,티씨케이,IT H/W,52200,0,6.09E+11,2019-10-30,-,52200,"4,013",13.01,"15,772",3.31,900,1.72,538,NA
259,코스닥,86450,동국제약,제약,68200,0,6.06E+11,2019-10-30,-,68200,"5,341",12.77,"34,603",1.97,520,0.76,712,NA
260,코스닥,69080,웹젠,IT S/W & SVC,17150,500,6.06E+11,2019-10-30,-,17150,"1,609",10.66,"8,878",1.93,0,0,604,NA
261,코스피,33660,아주캐피탈,금융업,10450,-150,6.01E+11,2019-10-30,-,10450,"1,589",6.58,"13,074",0.8,480,4.59,1973,NA
262,코스피,3850,보령제약,의약품,13600,750,6.01E+11,2019-10-30,-,13600,483,28.16,"5,794",2.35,60,0.44,1576,NA
263,코스피,6060,화승인더,화학,10850,400,6.00E+11,2019-10-30,-,10850,370,29.32,"4,869",2.23,40,0.37,1675,NA
264,코스피,1120,LG상사,유통업,15450,-350,5.99E+11,2019-10-30,-,15450,-,-,"29,115",0.53,250,1.62,1427,NA
265,코스닥,39200,오스코텍,제약,21200,550,5.96E+11,2019-10-30,-,21200,153,138.56,"1,621",13.08,0,0,286,NA
266,코스닥,196170,알테오젠,기타서비스,43400,-300,5.96E+11,2019-10-30,-,43400,-,-,"4,851",8.95,0,0,1067,NA
267,코스피,82640,동양생명,금융업,3665,-35,5.91E+11,2019-10-30,-,3665,351,10.44,"14,073",0.26,100,2.73,2075,NA
268,코스닥,83790,크리스탈,기타서비스,14450,50,5.85E+11,2019-10-30,-,14450,187,77.27,"4,415",3.27,0,0,694,NA
269,코스닥,42000,카페24,IT S/W & SVC,61300,-1100,5.78E+11,2019-10-30,-,61300,-,-,"11,657",5.26,0,0,321,NA
270,코스피,1430,세아베스틸,철강금속,16100,0,5.77E+11,2019-10-30,-,16100,590,27.29,"51,855",0.31,850,5.28,1446,NA
271,코스피,1060,JW중외제약,의약품,28300,50,5.75E+11,2019-10-30,-,28300,336,84.23,"11,795",2.4,325,1.15,1422,NA
272,코스피,93050,LF,섬유의복,19500,100,5.70E+11,2019-10-30,-,19500,"2,846",6.85,"40,126",0.49,500,2.56,2105,NA
273,코스닥,33290,코웰패션,유통,6300,330,5.70E+11,2019-10-30,-,6300,561,11.23,"2,303",2.74,40,0.63,204,NA
274,코스피,1230,동국제강,철강금속,5970,-100,5.70E+11,2019-10-30,-,5970,-,-,"20,178",0.3,0,0,1432,NA
275,코스피,103140,풍산,철강금속,20300,-1350,5.69E+11,2019-10-30,-,20300,"2,213",9.17,"49,144",0.41,600,2.96,2128,NA
276,코스닥,230360,에코마케팅,기타서비스,34950,-300,5.66E+11,2019-10-30,-,34950,952,36.71,"5,353",6.53,390,1.12,1180,NA
277,코스피,71320,지역난방공사,전기가스업,48850,-50,5.66E+11,2019-10-30,-,48850,-,-,"134,743",0.36,0,0,2052,NA
278,코스닥,96530,씨젠,제약,21250,-400,5.57E+11,2019-10-30,-,21250,378,56.22,"5,245",4.05,0,0,792,NA
279,코스피,210980,SK디앤디,서비스업,29350,500,5.57E+11,2019-10-30,-,29350,"3,237",9.07,"18,315",1.6,600,2.04,2197,NA
280,코스피,285130,SK케미칼,화학,47400,-300,5.57E+11,2019-10-30,-,47400,457,103.72,"53,061",0.89,400,0.84,2229,NA
281,코스피,39130,하나투어,서비스업,47900,350,5.56E+11,2019-10-30,-,47900,791,60.56,"17,206",2.78,1300,2.71,1999,NA
282,코스닥,66970,엘앤에프,IT H/W,22400,-300,5.55E+11,2019-10-30,-,22400,927,24.16,"5,680",3.94,100,0.45,579,NA
283,코스피,9450,경동나비엔,전기전자,43450,-700,5.54E+11,2019-10-30,-,43450,"1,961",22.16,"21,969",1.98,250,0.58,1765,NA
284,코스피,267270,현대건설기계,기계,28050,-1100,5.53E+11,2019-10-30,-,28050,"4,585",6.12,"62,737",0.45,850,3.03,2216,NA
285,코스피,27410,BGF,금융업,5750,-60,5.50E+11,2019-10-30,-,5750,575,10,"15,719",0.37,35,0.61,1944,NA
286,코스닥,48260,오스템임플란트,의료·정밀기기,38500,350,5.50E+11,2019-10-30,-,38500,913,42.17,"7,604",5.06,0,0,379,NA
