"","PER","PBR","PCR","PSR","종목코드"
"1",6.96392342285075,1.23369896558349,4.55981206798554,1.25385039656006,"005930"
"2",3.89296056856133,1.29122789129883,2.72175517075925,1.49578061449966,"000660"
"3",NA,6.30521958849717,NA,48.9013437849944,"207940"
"4",97.55129592055,9.70029218778487,66.8383388432348,26.0044081783932,"068270"
"5",17.5683676069226,0.358542481162715,7.03845474271445,0.273671559156556,"005380"
"6",42.4226833615906,4.62655476710763,28.2730734103749,4.92649536684029,"035420"
"7",12.2615028811944,0.754298437371757,14.3839057462269,0.658891998736813,"012330"
"8",14.8125994750781,1.25926036606416,10.2649571703529,0.773978426249867,"051910"
"9",6.40688452673678,0.551810091443983,NA,NA,"055550"
"10",28.7793933294273,5.46680351307735,24.0456392436666,2.91184762148944,"051900"
"11",6.09226247514307,0.852643608345675,4.39827996953331,1.12931064335664,"017670"
"12",11.1855992194068,0.8496509516207,11.4148560194233,0.614935817092272,"028260"
"13",11.0105224609606,0.398087008282791,3.17126757287425,0.286473061145499,"005490"
"14",8.21302122009676,0.363637684223558,2.35534374225164,0.182309295491714,"034730"
"15",5.77751143835751,0.495229132671576,NA,NA,"105560"
"16",14.9043535318799,0.632368904417567,3.85343612943992,0.318035921260555,"000270"
"17",NA,0.228909106856812,2.43615954131675,0.26842212708321,"015760"
"18",22.6534603964632,1.29933305222,60.9539770913277,1.73444923512006,"006400"
"19",25.1410233555767,2.57355497186351,13.2250397826995,1.57698272906659,"018260"
"20",8.98620830881017,0.767835421254139,8.58788439442162,0.272252393961575,"096770"
"21",8.49555395337659,0.463522971267476,7.22866929093605,NA,"032830"
"22",15.3782213563269,1.70495164168644,16.8672207724121,3.10109408408811,"033780"
"23",6.489755288964,0.665928315290815,24.4418162923823,1.01267956626314,"003550"
"24",254.761526993737,2.16858777775803,24.8282342685656,5.04885276913529,"035720"
"25",44.2912922015504,1.76639358622395,NA,0.448769538433746,"010950"
"26",28.243098603539,4.96480194871795,33.4786389909297,6.88663275377529,"036570"
"27",8.86794056995404,0.674385266408698,2.421422648582,0.179276627494836,"066570"
"28",34.4908610475617,2.57688557934509,17.7174331838565,2.17095457198075,"090430"
"29",9.69181625688931,0.837849414762174,4.87963940504186,NA,"000810"
"30",4.5978052748847,0.378784459501632,NA,NA,"086790"
"31",NA,0.636963441995271,66.0176101818182,0.636531352220672,"009540"
"32",12.9763507223408,1.72143563004144,5.46293792519407,1.03931177151227,"009150"
"33",NA,NA,NA,NA,"316140"
"34",15.4566552901024,1.27882029963134,9.17689969604863,1.18429241788096,"010130"
"35",681.717069473684,4.75180348028126,NA,10.8921858332165,"091990"
"36",5.04624804806231,0.588368163544812,5.77089935368238,0.481658199909338,"011170"
"37",40.202688092827,1.67470716519829,32.3945162022949,3.77105311551971,"251270"
"38",49.6023907800422,1.13070407817381,9.65980595045846,1.16126817281432,"002790"
"39",10.0879798007262,0.471484125148493,1.73184742371275,0.296059014786808,"030200"
"40",3.91527080726257,0.325595094864939,NA,NA,"024110"
"41",22.9915875378406,1.90570953914353,18.7837289777411,4.75307626382032,"035250"
"42",19.1137219968589,6.1539261223683,12.4162965002782,2.47243580072397,"021240"
"43",264.252149667984,31.9120734443914,NA,184.684513441989,"028300"
"44",22.2096181556196,2.89224093446545,13.0816677275621,1.03836398544867,"018880"
"45",11.9669226852159,0.840935880759915,2.78499563409684,0.475317314100502,"032640"
"46",13.2458847736626,1.35997136284681,11.8312231978763,0.343524689308415,"086280"
"47",20.5250180733433,0.522353172623221,8.25178843661129,0.202263666579838,"267250"
"48",NA,0.319688625035268,1.06129408576972,0.195546987253766,"034220"
"49",12.5333598185273,0.576795439736369,19.1692589448898,0.285862093895128,"000720"
"50",5.1076710780558,0.438313398356295,3.63476876591554,0.259983347856225,"078930"
"51",NA,0.673302402798571,27.4459214501511,0.862718656815635,"010140"
"52",10.6602664967394,0.249675338349067,2.69805640338348,0.2045315899718,"004020"
"53",31.9341166261615,3.092823064036,11.1522289465801,2.31853387098448,"271560"
"54",NA,0.571483608671895,NA,NA,"029780"
"55",155.761825542169,4.91380901558343,149.171902153846,3.81739119685039,"128940"
"56",7.50793936011107,0.57738920722943,3.48967150320427,0.576981344476167,"161390"
"57",20.5454340424095,0.45093494293591,NA,0.523016811702332,"004990"
"58",7.09201635347432,0.766845354294698,NA,NA,"071050"
"59",22.7922941328413,1.08186216312471,6.31673261632862,1.08148331562974,"035760"
"60",7.12190989399293,0.426912320546011,63.5359176882662,0.138548821844567,"036460"
"61",6.63459154929577,0.667495465538089,14.3381493506494,NA,"005830"
"62",65.523039583042,3.55961426930383,27.2179946561365,1.3452684365219,"047810"
"63",35.1584627514563,2.86882806258417,15.2798382421941,1.79424350364168,"012750"
"64",25.9366394634146,2.47056605575838,13.5539248470503,1.25969937148853,"081660"
"65",94.8006379947229,1.14465073114785,58.0443324717286,0.38970293827348,"000120"
"66",NA,0.278849356059996,19.9963790392383,0.194456617407748,"023530"
"67",51.0684133915575,3.39369317082608,7.86284177498879,0.640242344611117,"028050"
"68",3.96479647280622,0.474807732820667,7.36103070216377,0.18585813000466,"097950"
"69",9.43487817317817,0.673759850548102,NA,NA,"005940"
"70",4.92605198019802,0.526296651350369,2.88293345405161,0.289881196231053,"000210"
"71",20.1197219649805,5.94682983898792,8.97183668883748,0.537138996000623,"282330"
"72",12.0147393655955,0.849796385228367,5.15390619883231,0.800316954316511,"241560"
"73",7.02777755775211,0.357200728930285,4.11003566705638,0.18557609823979,"139480"
